"Time [ms]","InducedVoltage(PMI_2) [kV]","InducedVoltage(PMI_1) [kV]"
0,-1.28761476365918,-1.30736078470798
0.1,-0.953592127573408,-0.978019671913941
0.2,-0.619569491487635,-0.648678559119897
0.3,-0.204190833865727,-0.248971796412043
0.4,0.122385424021534,0.113525986635903
0.5,0.361015838108543,0.385368121290153
0.6,0.242322044074967,0.268578133139776
0.7,0.0459924444598592,0.0717616437052193
0.8,0.155378421617343,0.173314559208908
0.9,-0.352715185689174,-0.384239376998927
1,-0.747894716517337,-0.850470974432227
1.1,-0.3388910787268,-0.443556247721446
1.2,-0.119090855819337,-0.151672330092953
1.3,-0.343475314138786,-0.292561758484986
1.4,-0.566236644826308,-0.478350723596748
1.5,-0.387062101059108,-0.291543433303101
1.6,-0.0104276586972674,0.094993514059194
1.7,0.395690779094249,0.431443933861786
1.8,0.949298506297893,0.794489522013979
1.9,1.11959797373784,0.87425027576268
2,0.909122088777376,0.766971155929976
2.1,0.749801055025722,0.812585351783303
2.2,0.335639545558629,0.550240093621889
2.3,-0.348673634999344,-0.160218836281043
2.4,-0.126179703431859,-0.118248817054188
2.5,0.332188073463514,0.300214217185122
2.6,0.49249049664157,0.585163529725677
2.7,0.347442826474982,0.555239726214865
2.8,0.455269970171788,0.594055242329007
2.9,1.09212058788584,1.01329322109603
3,1.84085748850518,1.65825012347547
3.1,1.97362116041014,1.85193680564856
3.2,1.83546146946132,1.77013127279981
3.3,1.58141370900728,1.56166704749055
3.4,1.57958454502772,1.61145718856224
3.5,1.57049816082956,1.63647045111301
3.6,1.03272617053294,1.0760836041271
3.7,0.998727753440784,0.997701028328157
3.8,1.06592129199593,1.03630061396295
3.9,0.970476869629035,0.935025069678367
4,0.925666111894882,0.894054966480537
4.1,0.952653848063744,0.928059428689038
4.2,1.13613190176117,1.12902234637991
4.3,1.37609225863519,1.39425904903157
4.4,1.64303774423123,1.66465966975188
4.5,1.88033080698844,1.89098071526314
4.6,2.41403201355535,2.40214614490922
4.7,3.56086027776026,3.54501567848361
4.8,5.52255481895364,5.50348750850827
4.9,6.97716937516236,6.97563488829523
5,7.58232901364319,7.58028699459512
5.1,6.97620635387577,6.98533271491958
5.2,5.90774723479853,5.91851550346254
5.3,4.77880372510675,4.7842429748107
5.4,3.96325692155795,3.96021978007627
5.5,3.27352388663811,3.2664796118545
5.6,2.79740469075939,2.79028435267212
5.7,2.38043420949491,2.37856226967767
