#NSGA2
popsize 150
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	150
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2648	188	755	17.4039	13.1203	972	13.8549	10	467	2	73	338	5	0	0	0
2486	193	752	15.0999	13.2508	1044	15.9265	8	480	18	61	340	5	0	0	0
2486	195	750	15.0304	13.2508	1050	12.6	8	480	8	60	342	5	0	0	0
2486	193	756	15.0999	13.2508	1044	11.4365	6	472	11	60	344	5	0	0	0
2486	193	756	15.0999	13.2508	1044	11.4365	6	472	14	60	344	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	13	60	342	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	12	60	342	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	12	60	342	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.1447	8	481	12	60	342	5	0	0	0
2486	193	752	15.0999	13.2508	1044	10.9882	6	472	12	60	344	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.1447	9	481	12	60	342	5	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	12	60	340	5	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	12	60	340	5	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3692	8	472	12	60	340	5	0	0	0
2486	193	752	15.0999	13.2508	1044	10.9882	6	472	10	59	345	5	0	0	0
2486	193	752	15.0999	13.2508	963	10.9882	6	473	12	60	344	5	0	0	0
2493	188	761	15.0708	13.5885	1019	14.3269	9	486	7	76	333	6	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	10	60	340	5	0	0	0
2493	188	760	15.0708	13.5885	1019	14.3269	9	486	7	69	333	6	0	0	0
2493	188	760	15.0708	13.5885	1019	14.3269	9	486	7	69	333	6	0	0	0
