#NSGA2
popsize 126
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	126
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2638	178	748	16.866	13.4977	966	16.5916	9	468	7	76	334	5	0.152532	39311.1	0.000151248
2534	188	750	15.8618	13.4146	1023	15.6903	10	470	8	66	333	4	0.152055	38891.5	0.000151473
2534	188	750	15.8618	13.4146	1023	15.6903	10	471	8	66	333	4	0.152055	38902.5	0.000151494
2541	195	744	17.1489	13.301	1047	13.4691	8	477	10	66	332	4	0.151127	38992.1	0.000151754
2527	195	762	17.7021	13.3667	1050	13.6304	9	488	14	76	333	5	0.151372	39069	0.000152133
2520	188	750	15.7683	13.4146	965	15.6903	10	471	8	66	333	4	0.151239	39002	0.000152335
2534	188	750	17.4268	13.4146	1016	15.6903	10	473	8	66	334	4	0.14748	39155.3	0.000152363
2638	198	740	17.943	13.6963	966	12.3057	10	465	15	70	341	5	0.151997	37843.1	0.000152497
2547	186	752	17.2682	13.4234	1043	10.8674	8	473	18	74	335	6	0.150529	38953.5	0.000152734
2547	186	752	17.2682	13.4234	1043	10.8674	8	473	17	75	335	6	0.150529	38984.1	0.000152734
2489	189	762	17.1867	13.5725	1003	16.2198	7	484	4	73	347	5	0.151322	38772.4	0.000152785
2556	188	729	15.8618	13.4146	1023	15.2794	10	471	8	66	333	4	0.149577	39113.8	0.00015281
2557	179	741	16.595	13.6336	1006	16.4092	7	469	7	60	349	4	0.147672	39343.8	0.000152821
2603	184	740	16.3201	13.8544	1001	17	10	487	8	67	350	5	0.150096	39481.5	0.000152856
2547	186	752	17.1073	13.4782	1041	10.8674	8	474	5	75	335	6	0.15001	39008.6	0.000152871
2551	188	736	16.4738	13.5411	979	11.9024	8	484	1	75	335	5	0.149506	38797.5	0.0001531
2551	188	736	16.4738	13.5411	979	12.2694	8	483	1	75	335	5	0.149506	38797.5	0.0001531
2551	188	736	16.4738	13.5411	979	11.9024	8	482	1	75	335	5	0.149438	38806.5	0.00015313
2541	187	736	17.0843	13.6325	993	15.6208	7	477	0	66	337	5	0.147622	39085.6	0.000153156
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.153009	38532.2	0.000153205
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.153009	38532.2	0.000153205
2603	187	737	16.3201	13.8544	1006	14.3955	10	487	8	67	349	5	0.150728	38733	0.000153266
2696	191	775	18.879	13.9623	1025	16.277	6	467	9	62	338	6	0.153256	38620.8	0.000153286
2696	191	775	18.9713	13.9623	1025	16.277	6	467	19	62	338	6	0.152674	38520.4	0.000153316
