"Distance []","FFT Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*60)*1s []","FFT Flux_Lines [] - Time='0.0166666666666667s'"
0,0,1.2240759274053E-05
60.0000815326529,60.0000815326529,0.279518134794885
120.000163065306,120.000163065306,4.59444875397384E-06
180.000244597959,180.000244597959,0.0101664699657861
240.000326130612,240.000326130612,4.03005476219876E-05
300.000407663265,300.000407663265,3.9934685713813E-06
360.000489195918,360.000489195918,2.43950403394301E-05
420.00057072857,420.00057072857,0.0011365812563526
480.000652261223,480.000652261223,3.56702534259461E-07
540.000733793876,540.000733793876,0.000814959140675214
600.000815326529,600.000815326529,4.41990096578381E-07
660.000896859182,660.000896859182,0.000345720885144559
720.000978391835,720.000978391835,1.25182169155761E-06
780.001059924488,780.001059924488,5.53676496669638E-05
840.001141457141,840.001141457141,1.40204205197389E-06
900.001222989794,900.001222989794,5.07444772766784E-05
960.001304522447,960.001304522447,6.21582209551702E-06
1020.0013860551,1020.0013860551,7.7513307875071E-05
1080.00146758775,1080.00146758775,1.15816829454992E-05
1140.00154912041,1140.00154912041,6.03070157261354E-05
1200.00163065306,1200.00163065306,1.10952405188657E-05
1260.00171218571,1260.00171218571,1.85637158898572E-05
1320.00179371836,1320.00179371836,1.81056660971476E-06
1380.00187525102,1380.00187525102,1.1568798391327E-05
1440.00195678367,1440.00195678367,3.50306422856526E-05
1500.00203831632,1500.00203831632,1.69937007865379E-05
1560.00211984898,1560.00211984898,0.000279360606865303
1620.00220138163,1620.00220138163,2.48160199607623E-05
1680.00228291428,1680.00228291428,0.000254367621489929
1740.00236444693,1740.00236444693,2.19961863016507E-06
1800.00244597959,1800.00244597959,1.38218834527983E-05
1860.00252751224,1860.00252751224,6.30860527194045E-06
1920.00260904489,1920.00260904489,3.10063541476896E-07
1980.00269057755,1980.00269057755,7.78960702260602E-06
2040.0027721102,2040.0027721102,3.38442102385592E-06
2100.00285364285,2100.00285364285,2.34933542561382E-06
2160.00293517551,2160.00293517551,3.49004177060742E-06
2220.00301670816,2220.00301670816,1.02575856950002E-06
2280.00309824081,2280.00309824081,9.43558240160522E-07
2340.00317977346,2340.00317977346,2.15580839681978E-06
2400.00326130612,2400.00326130612,4.13029837036213E-07
2460.00334283877,2460.00334283877,1.7586669700669E-06
2520.00342437142,2520.00342437142,3.18337817630762E-07
2580.00350590408,2580.00350590408,3.45240748741126E-07
2640.00358743673,2640.00358743673,6.51673725874244E-08
2700.00366896938,2700.00366896938,8.60721042558498E-07
2760.00375050203,2760.00375050203,4.85644075910502E-07
2820.00383203469,2820.00383203469,9.54362347310048E-07
2880.00391356734,2880.00391356734,2.91142934473789E-07
2940.00399509999,2940.00399509999,7.92538104116802E-07
3000.00407663265,3000.00407663265,9.42613586540557E-08
3060.0041581653,3060.0041581653,4.57168569311648E-06
3120.00423969795,3120.00423969795,2.84972703239104E-07
3180.00432123061,3180.00432123061,2.52969230146805E-05
3240.00440276326,3240.00440276326,1.91644361424594E-07
3300.00448429591,3300.00448429591,2.16473148162673E-05
3360.00456582856,3360.00456582856,1.05232778624199E-07
3420.00464736122,3420.00464736122,3.80766498507748E-06
3480.00472889387,3480.00472889387,1.88240776485766E-07
3540.00481042652,3540.00481042652,1.3656264597633E-07
3600.00489195918,3600.00489195918,9.4380168858676E-08
3660.00497349183,3660.00497349183,5.43009594832619E-07
3720.00505502448,3720.00505502448,7.02584252101915E-08
3780.00513655713,3780.00513655713,6.66091831204091E-07
3840.00521808979,3840.00521808979,1.40198953840187E-07
3900.00529962244,3900.00529962244,1.64538223570038E-07
3960.00538115509,3960.00538115509,1.34646206293601E-07
4020.00546268775,4020.00546268775,2.1848791589307E-07
4080.0055442204,4080.0055442204,6.17589504588429E-07
4140.00562575305,4140.00562575305,9.00974959620529E-08
4200.0057072857,4200.0057072857,4.27852911209016E-07
