#NSGA2
popsize 126
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	126
totalTime	28913
firstFrontCount	46
frontCount	5
avgEvalTime	2190.64
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2638	178	748	16.866	13.4977	966	16.5916	9	468	7	76	334	5	0.149493	40387.4	0.000355492	
2534	188	750	15.8618	13.4146	1023	15.6903	10	470	8	66	333	4	0.155851	39393.2	0.000447828	
2534	188	750	15.8618	13.4146	1023	15.6903	10	471	8	66	333	4	0.155851	39368.2	0.000448229	
2541	195	744	17.1489	13.301	1047	13.4691	8	477	10	66	332	4	0.152309	38916.2	0.000438212	
2527	195	762	17.7021	13.3667	1050	13.6304	9	488	14	76	333	5	0.152713	38479.1	0.000502008	
2520	188	750	15.7683	13.4146	965	15.6903	10	471	8	66	333	4	0.155558	39359.3	0.000470588	
2534	188	750	17.4268	13.4146	1016	15.6903	10	473	8	66	334	4	0.147588	39283.3	0.000455373	
2638	198	740	17.943	13.6963	966	12.3057	10	465	15	70	341	5	0.155672	38637.9	0.000370782	
2547	186	752	17.2682	13.4234	1043	10.8674	8	473	18	74	335	6	0.14811	39482.3	0.000470588	
2547	186	752	17.2682	13.4234	1043	10.8674	8	473	17	75	335	6	0.14811	39484.3	0.00047081	
2489	189	762	17.1867	13.5725	1003	16.2198	7	484	4	73	347	5	0.149005	38209.8	0.000712758	
2556	188	729	15.8618	13.4146	1023	15.2794	10	471	8	66	333	4	0.152832	39437.9	0.000423012	
2557	179	741	16.595	13.6336	1006	16.4092	7	469	7	60	349	4	0.145758	40204.9	0.000484966	
2603	184	740	16.3201	13.8544	1001	17	10	487	8	67	350	5	0.15256	39147.4	0.000446429	
2547	186	752	17.1073	13.4782	1041	10.8674	8	474	5	75	335	6	0.148695	39478.6	0.000474383	
2551	188	736	16.4738	13.5411	979	11.9024	8	484	1	75	335	5	0.150497	38816	0.000469484	
2551	188	736	16.4738	13.5411	979	12.2694	8	483	1	75	335	5	0.150497	38848	0.000469043	
2551	188	736	16.4738	13.5411	979	11.9024	8	482	1	75	335	5	0.150497	38862.4	0.000468604	
2541	187	736	17.0843	13.6325	993	15.6208	7	477	0	66	337	5	0.146388	39125.5	0.0004649	
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.158623	39459	0.00032144	
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.158623	39459	0.00032144	
2603	187	737	16.3201	13.8544	1006	14.3955	10	487	8	67	349	5	0.153811	38748.3	0.000442674	
2696	191	775	18.879	13.9623	1025	16.277	6	467	9	62	338	6	0.158123	40358.1	0.000295334	
2696	191	775	18.9713	13.9623	1025	16.277	6	467	19	62	338	6	0.157465	40370.3	0.000296384	
2533	194	736	17.0843	13.6325	993	15.6208	7	477	0	66	337	5	0.150171	38551.6	0.000483092	
2551	188	736	17.0258	13.5411	979	11.9024	8	484	1	68	335	5	0.14758	38970.6	0.00045106	
2555	192	739	18.0375	13.4145	1048	14.8917	7	472	18	61	338	5	0.146166	39795.2	0.000436681	
2691	176	755	18.0443	13.9668	1008	10.6659	9	471	13	79	335	5	0.147148	39541	0.000320924	
2489	196	763	17.7355	13.4525	938	13.9954	7	478	11	71	343	5	0.150557	38442.7	0.000645578	
2698	171	758	17.1156	14.1856	1025	11.3874	6	482	11	68	342	4	0.149252	40058.9	0.000319795	
2634	191	748	18.7729	13.9287	1021	10.0316	9	488	19	75	333	6	0.148968	38326.1	0.000363901	
2489	196	763	17.7355	13.4525	938	13.9954	7	476	11	71	343	5	0.150557	38475.5	0.00064433	
2489	196	763	17.7355	13.5894	938	11.513	7	476	11	71	343	5	0.150557	38261	0.000645161	
2620	194	729	18.9149	13.5077	999	12.7036	7	475	10	70	337	4	0.14563	39300	0.000377644	
2698	171	755	17.1156	14.1856	1025	11.3874	6	482	11	68	342	4	0.148661	40071.6	0.000320513	
2586	187	737	17.6327	13.8257	1006	16.8053	7	474	3	68	342	4	0.146293	39014.7	0.000434783	
2540	191	739	18.0375	13.8661	1036	15.9437	9	473	19	61	338	5	0.144671	39162.2	0.000461042	
2612	195	759	18.9136	13.4414	939	10.9988	7	466	10	73	345	4	0.151783	39902.2	0.000414766	
2582	194	732	17.5269	13.8013	1032	16.363	6	473	12	72	335	5	0.149949	38615	0.000421585	
2519	197	749	18.0414	13.7873	1050	12.4948	8	473	12	65	345	6	0.149063	38446.1	0.000561167	
2540	198	773	18.3194	13.8938	1003	11.8857	8	466	6	63	347	5	0.154563	38248.3	0.000505051	
2590	195	758	18.9136	13.4414	939	10.9988	7	466	10	73	345	4	0.150263	39839.5	0.000446229	
2489	196	747	17.7355	13.4525	937	13.9954	7	479	11	71	343	5	0.147399	38454	0.000653595	
2509	196	774	18.5158	13.7885	995	11.7643	10	470	5	80	342	5	0.150949	37883.5	0.000629327	
2555	194	739	18.0375	13.8661	1048	14.8693	9	472	18	61	343	5	0.147392	38922.5	0.000464253	
2555	194	739	18.0375	13.8661	1048	14.8917	9	472	18	61	338	5	0.147392	39057.1	0.000438404	
2690	186	753	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.15504	38068.4	0.000324886	
2512	196	769	18.5158	13.7885	986	11.7154	9	470	6	67	343	5	0.150159	38170.6	0.000558971	
2568	168	762	16.4795	14.317	1038	16.6211	5	484	2	79	348	6	0.144207	39969.9	0.000536481	
2568	168	762	16.4795	14.317	1038	16.6211	5	485	2	79	348	6	0.144207	39964.2	0.000537057	
2625	201	741	19.0586	13.9893	969	16.2129	10	483	6	61	332	4	0.152099	40381	0.000339098	
2690	186	749	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.154217	38052.3	0.000325733	
2568	173	771	15.7738	14.1867	1040	14.5319	7	474	9	65	345	4	0.153354	39950.7	0.000458505	
2568	173	771	15.7738	14.1867	1040	14.5319	7	474	9	65	345	4	0.153354	39950.7	0.000458505	
2512	196	763	18.5158	13.7885	964	11.7643	10	470	5	57	342	5	0.148987	38745.7	0.000502765	
2580	172	760	14.8705	14.3195	994	14.8807	8	480	15	59	346	5	0.157253	40662.1	0.000434405	
2514	198	740	18.9576	13.8135	966	15.8607	7	469	8	75	339	5	0.144063	38382.9	0.000573723	
2684	171	751	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.142768	39825	0.000320718	
2564	170	764	16.5971	14.2904	972	15.6196	10	467	17	77	345	5	0.145014	39844.9	0.000507357	
2483	199	738	17.2343	13.9473	1000	10.3682	8	480	1	65	339	5	0.149373	37366.3	0.000606428	
2532	172	762	16.4795	14.317	1038	16.6211	5	484	2	79	348	6	0.144587	39399.7	0.000630517	
2545	164	758	15.9545	14.4476	1035	14.8076	6	475	3	64	332	4	0.142565	40548.1	0.000429738	
2610	201	741	19.0586	13.9893	969	16.1585	10	483	6	61	332	4	0.151205	40141	0.000351989	
2545	164	758	15.9545	14.4476	1035	14.8076	6	475	3	62	332	4	0.142565	40658.4	0.000424268	
2634	169	750	18.9536	14.2857	985	14.7713	7	472	7	64	339	6	0.134893	40917.9	0.000357398	
2532	198	740	19.1278	13.8135	969	14.461	7	469	8	75	336	5	0.144537	38601.4	0.000511247	
2512	196	763	17.5874	13.7885	962	11.7643	10	468	14	57	342	5	0.153211	38522.2	0.000503271	
2512	196	763	17.5874	13.7885	962	11.4558	10	468	14	57	342	5	0.153211	38482	0.000503271	
2662	193	775	18.7226	14.0893	1012	13.5105	10	484	17	74	343	6	0.158025	38107.6	0.000362713	
2673	193	773	18.7226	14.0893	1012	14.3177	10	484	17	73	343	6	0.158291	38226.3	0.000349162	
2673	193	772	18.7226	14.0893	1012	14.3177	10	484	17	75	343	6	0.158086	38159.7	0.000353107	
2673	193	774	18.7226	14.0893	1012	14.3177	10	484	17	67	343	6	0.158495	38741	0.000338295	
2517	198	740	19.1278	13.8135	969	14.461	7	469	8	75	339	5	0.143653	38391.7	0.000565291	
2517	198	740	19.1278	13.8135	969	14.461	7	469	8	75	339	5	0.143653	38391.7	0.000565291	
2564	180	764	16.5971	14.2904	984	14.8228	10	471	17	77	345	5	0.151344	38779.8	0.000509424	
2517	198	740	19.1278	13.8135	966	14.3279	7	469	8	75	339	5	0.143653	38429.8	0.000565291	
2607	186	739	17.5849	14.2241	1046	11.3913	8	471	8	58	348	5	0.147913	39219.3	0.00040783	
2607	186	739	17.5849	14.2241	1046	11.3913	8	471	8	58	348	5	0.147913	39219.3	0.00040783	
2599	186	760	18.1775	14.1908	1033	15.371	8	469	3	71	333	5	0.148554	38736.8	0.000382409	
2585	165	738	16.9292	14.3645	1039	13.5378	8	483	10	65	349	5	0.136466	40112.5	0.000466853	
2585	165	738	16.9292	14.373	1039	13.5378	8	483	10	65	349	5	0.136466	40112.5	0.000466853	
2670	170	754	18.0252	14.3708	992	13.5689	10	481	7	65	344	6	0.14191	40640.6	0.000343879	
2599	186	760	18.1775	14.1908	1026	15.371	8	469	3	71	333	5	0.148554	38725.2	0.000382409	
2607	186	739	17.5849	14.2241	1050	12.6885	8	471	8	58	348	5	0.147913	39430.5	0.00040783	
2564	160	749	16.7543	14.4478	1049	14.8409	7	472	8	72	335	5	0.134814	40891.8	0.000443459	
2528	194	740	16.6053	13.9688	968	10.4289	8	482	4	59	344	5	0.153013	38042.2	0.000507872	
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	337	4	0.15442	38165.8	0.000374672	
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	337	4	0.15442	38165.8	0.000374672	
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	337	4	0.15442	38165.8	0.000374672	
2618	196	764	18.7854	14.371	948	14.1447	7	483	18	68	338	4	0.15442	38158.6	0.000378215	
2618	196	765	18.7854	14.371	948	14.1447	7	483	18	68	340	4	0.154622	38151.6	0.000385208	
2585	165	738	16.9292	14.373	1039	13.5378	7	484	12	65	349	5	0.136466	40152.6	0.000467946	
2483	195	739	17.2343	13.7288	939	10.3682	8	480	1	65	339	5	0.147164	38145.8	0.00059312	
2618	196	764	18.7854	14.371	948	13.347	7	484	17	68	337	4	0.15442	38116.4	0.000374813	
2672	170	745	18.0252	14.3708	992	13.553	10	481	7	72	344	6	0.140327	40025.9	0.000357015	
2564	170	759	17.45	14.2904	985	14.8228	10	471	17	77	350	5	0.139892	39630.6	0.000548246	
2595	173	760	17.2252	14.2876	1025	11.6754	9	468	15	64	342	6	0.144334	39773.4	0.00040568	
2684	171	742	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.141057	39806.5	0.000322685	
2672	170	742	18.0252	14.3708	992	13.553	10	481	7	69	344	6	0.139762	40206.6	0.000350754	
2564	170	764	16.5971	14.2904	984	14.8228	10	468	17	77	345	5	0.145014	39771.7	0.00050813	
2616	169	744	18.9536	14.2857	979	14.1147	7	472	7	64	339	6	0.132845	40778	0.000377358	
2668	173	749	18.3155	14.4423	965	11.9896	9	467	16	77	339	6	0.141538	39662.5	0.000352485	
2616	196	764	18.7854	14.371	948	14.0555	7	483	18	68	337	4	0.154298	38142	0.000378358	
2616	169	744	18.9536	14.2857	979	14.1147	7	476	10	64	339	6	0.132845	40696.9	0.000378931	
2483	191	748	17.3698	13.8533	943	16.0306	8	467	6	58	341	5	0.145944	38830.1	0.000570776	
2540	160	749	16.4921	14.4478	1049	14.5663	7	472	8	72	335	5	0.135239	40864	0.000478698	
2547	174	752	17.2682	14.3899	1043	10.8674	8	473	18	75	335	6	0.140678	39349.1	0.000481232	
2628	169	743	18.9536	14.2857	980	14.753	7	474	6	74	348	6	0.133312	40434.1	0.000424628	
2604	173	744	18.9536	14.2857	1035	14.753	6	472	7	74	348	6	0.134662	40036.7	0.000456621	
2570	161	759	17.0044	14.4251	964	14.7086	7	484	17	73	345	5	0.136392	40575	0.000495786	
2564	170	764	17.0287	14.2904	984	14.5618	10	468	16	77	345	5	0.142606	39771.7	0.00050813	
2618	173	744	18.9536	14.2857	977	14.988	6	473	14	74	348	5	0.135426	40091.9	0.00043554	
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.143653	38172	0.000558347	
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.143653	38172	0.000558347	
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.143653	38172	0.000558347	
2638	177	742	19.1754	14.2561	962	13.8	6	470	16	78	343	4	0.13804	39842	0.000399521	
2634	177	742	19.1754	14.2561	962	13.832	6	470	14	78	343	4	0.13782	39835.5	0.000403551	
2564	170	754	17.45	14.2904	984	14.8228	10	468	17	77	345	5	0.138971	39698.2	0.000512033	
2495	196	741	18.9298	14.3874	965	10.131	8	486	4	78	348	5	0.141925	36978.2	0.000775795	
2495	196	739	18.9298	14.3874	965	10.131	8	486	4	63	348	5	0.141542	37259.7	0.000660939	
2569	176	764	18.865	14.2904	988	14.8228	10	468	17	78	345	5	0.138816	39324.6	0.000509684	
2564	187	754	18.3667	14.2904	984	14.8228	10	468	12	77	345	5	0.145349	38319	0.000511509	
2564	173	754	18.552	14.2904	984	14.8228	10	468	18	77	345	5	0.136061	39504.8	0.000513347	
2549	166	745	17.1063	14.1651	953	15.3102	7	483	19	61	347	5	0.135176	40601	0.000502513	
2534	174	757	17.5021	14.2625	982	12.9564	7	472	0	61	344	6	0.139671	39739.4	0.000499251	
2489	187	763	17.7355	14.1777	938	13.9954	7	476	11	71	342	5	0.144979	38243.5	0.000638162	



#Generation 2 / 2
currentGen	2
evaluateCount	252
totalTime	57684.7
firstFrontCount	83
frontCount	2
avgEvalTime	2198.41
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2696	191	775	18.879	13.9623	1025	16.277	6	467	9	62	338	6	0.158123	40358.1	0.000295334	
2696	191	775	18.9713	13.9623	1025	16.277	6	467	19	62	338	6	0.157465	40370.3	0.000296384	
2691	176	755	18.0443	13.9668	1008	10.6659	9	471	13	79	335	5	0.147148	39541	0.000320924	
2698	171	758	17.1156	14.1856	1025	11.3874	6	482	11	68	342	4	0.149252	40058.9	0.000319795	
2698	171	755	17.1156	14.1856	1025	11.3874	6	482	11	68	342	4	0.148661	40071.6	0.000320513	
2586	187	737	17.6327	13.8257	1006	16.8053	7	474	3	68	342	4	0.146293	39014.7	0.000434783	
2690	186	753	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.15504	38068.4	0.000324886	
2690	186	749	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.154217	38052.3	0.000325733	
2684	171	751	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.142768	39825	0.000320718	
2634	169	750	18.9536	14.2857	985	14.7713	7	472	7	64	339	6	0.134893	40917.9	0.000357398	
2532	198	740	19.1278	13.8135	969	14.461	7	469	8	75	336	5	0.144537	38601.4	0.000511247	
2599	186	760	18.1775	14.1908	1026	15.371	8	469	3	71	333	5	0.148554	38725.2	0.000382409	
2684	171	742	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.141057	39806.5	0.000322685	
2672	170	742	18.0252	14.3708	992	13.553	10	481	7	69	344	6	0.139762	40206.6	0.000350754	
2616	169	744	18.9536	14.2857	979	14.1147	7	472	7	64	339	6	0.132845	40778	0.000377358	
2668	173	749	18.3155	14.4423	965	11.9896	9	467	16	77	339	6	0.141538	39662.5	0.000352485	
2616	169	744	18.9536	14.2857	979	14.1147	7	476	10	64	339	6	0.132845	40696.9	0.000378931	
2547	174	752	17.2682	14.3899	1043	10.8674	8	473	18	75	335	6	0.140678	39349.1	0.000481232	
2604	173	744	18.9536	14.2857	1035	14.753	6	472	7	74	348	6	0.134662	40036.7	0.000456621	
2618	173	744	18.9536	14.2857	977	14.988	6	473	14	74	348	5	0.135426	40091.9	0.00043554	
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.143653	38172	0.000558347	
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.143653	38172	0.000558347	
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.143653	38172	0.000558347	
2638	177	742	19.1754	14.2561	962	13.8	6	470	16	78	343	4	0.13804	39842	0.000399521	
2634	177	742	19.1754	14.2561	962	13.832	6	470	14	78	343	4	0.13782	39835.5	0.000403551	
2495	196	741	18.9298	14.3874	965	10.131	8	486	4	78	348	5	0.141925	36978.2	0.000775795	
2495	196	739	18.9298	14.3874	965	10.131	8	486	4	63	348	5	0.141542	37259.7	0.000660939	
2569	176	764	18.865	14.2904	988	14.8228	10	468	17	78	345	5	0.138816	39324.6	0.000509684	
2564	187	754	18.3667	14.2904	984	14.8228	10	468	12	77	345	5	0.145349	38319	0.000511509	
2564	173	754	18.552	14.2904	984	14.8228	10	468	18	77	345	5	0.136061	39504.8	0.000513347	
2569	176	764	18.865	14.2904	984	14.8228	10	466	17	78	345	5	0.138816	39370.1	0.000508647	
2607	186	739	17.7945	13.9331	1046	11.3913	8	471	8	70	349	5	0.146709	38990.7	0.000443656	
2629	187	737	18.8486	13.8506	995	13.1253	10	469	-0	68	333	5	0.14401	39465.4	0.000349528	
2483	182	739	18.9803	13.7288	939	10.3682	8	480	1	65	339	5	0.132513	39496.7	0.000594884	
2616	169	744	18.3402	14.2857	985	14.1147	7	470	13	64	339	6	0.135239	40484.1	0.000377358	
2690	186	752	17.6483	14.4377	1028	13.7439	10	475	11	77	335	6	0.154834	38147.6	0.00032352	
2616	169	744	18.9536	14.2857	994	14.1147	7	478	9	64	339	5	0.132845	40546.2	0.000379507	
2690	193	753	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.159596	37536.3	0.000324886	
2564	173	751	18.552	14.2904	1028	14.8228	10	468	18	77	339	5	0.13552	39537.6	0.000477555	
2547	174	752	17.2682	14.3199	1036	10.8674	8	473	18	75	335	6	0.140678	39374.4	0.000480769	
2684	171	742	18.0443	14.3084	1024	13.6716	9	487	12	72	338	5	0.141057	39773.6	0.000333	
2564	173	756	18.552	14.5741	984	14.8228	7	468	18	77	345	5	0.136422	39276.6	0.000520833	
2541	181	736	17.0843	13.6325	993	15.6683	7	477	0	66	337	5	0.142745	39588.8	0.0004649	
2541	174	736	18.0902	13.6325	993	15.6208	7	477	0	66	337	5	0.133889	40267.2	0.000465549	
2690	186	749	17.6483	14.4377	1049	13.7439	10	480	11	77	335	5	0.154217	38065.8	0.000325521	
2616	169	744	19.6974	14.2857	979	14.1147	7	472	7	64	340	6	0.130449	40978.1	0.000381388	
2528	201	744	16.6053	13.9688	1041	10.2678	8	482	4	59	344	6	0.140491	38781.4	0.00048216	
2547	174	751	17.2682	14.8391	970	10.8674	8	473	18	75	335	5	0.140491	38781.4	0.00048216	
2687	165	742	17.8223	14.3708	992	13.553	10	481	7	69	344	6	0.138658	40706.5	0.000337838	
2690	182	749	17.6483	14.4377	1035	12.7997	10	482	11	77	333	5	0.151636	38380.1	0.000320924	
2489	165	749	17.1752	14.4478	1049	14.0993	7	472	8	72	335	5	0.131949	40362.9	0.000588235	
2495	196	741	18.9298	14.3874	965	10.131	8	486	4	78	345	5	0.141925	37022.5	0.000732601	
2564	187	754	18.3667	14.2904	984	16.2064	10	484	12	77	345	5	0.145349	38033.9	0.000519481	
2495	196	741	19.5222	14.3874	965	10.131	8	486	3	77	343	5	0.140179	37253.3	0.000693963	
2483	222	739	17.2343	13.7288	939	11.9798	8	480	6	76	336	5	0.163559	36322.9	0.000630517	
2690	192	749	18.6809	14.4377	1049	12.1513	10	481	6	66	338	5	0.153733	38315.9	0.000315457	
2575	199	738	16.9292	14.373	1039	13.5378	9	483	10	65	348	5	0.156824	37241.1	0.000479616	
2610	167	744	19.0586	13.9893	969	16.1585	9	483	6	61	332	4	0.130687	42568.3	0.000351494	
2495	196	741	18.9298	14.2439	965	10.131	8	486	4	78	332	5	0.141925	37450.7	0.000582072	
2646	169	750	18.9536	14.2857	985	14.7713	7	471	7	64	339	6	0.135544	41037.7	0.000347102	
2547	183	752	17.2451	14.3899	1043	10.8674	8	473	18	75	335	5	0.146242	38595.4	0.000481232	
2542	198	740	19.1278	13.8135	969	14.461	7	469	8	75	336	6	0.145127	38634.6	0.000490677	
2574	187	737	17.6327	13.8257	1006	16.8053	7	482	3	68	342	4	0.145591	38829	0.000454545	
2564	165	754	18.9656	14.0493	989	14.8228	10	468	18	77	345	5	0.129338	40739	0.000512558	
2517	198	740	18.7142	14.5752	983	15.0528	7	469	8	75	338	5	0.145425	37183.7	0.000561167	
2590	178	740	19.1278	13.9898	972	15.0528	7	469	8	76	338	5	0.135641	39996.9	0.000432152	
2515	199	741	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.144335	38080	0.000558036	
2682	178	747	16.9342	13.4623	966	14.5565	9	468	7	75	334	5	0.151893	40576.6	0.000315956	
2634	191	748	18.7729	13.9287	1021	10.0316	9	488	19	75	333	5	0.148968	38287.7	0.000363769	
2495	197	739	18.9298	14.4765	965	13.2527	8	471	5	63	344	5	0.142142	37337.3	0.000610501	
2616	169	744	19.1688	14.2857	979	10.7828	7	487	6	64	343	6	0.132251	40426.6	0.000397141	
2606	173	744	18.9536	14.2857	991	14.988	6	473	12	74	348	4	0.134771	39965.7	0.00045683	
2599	186	760	18.1775	14.1908	1026	15.371	8	469	20	71	334	5	0.148554	38566.9	0.000388954	
2540	191	739	18.0375	13.8661	1036	16.4325	9	473	4	61	337	5	0.144671	39385.4	0.000452284	
2586	187	742	18.1188	13.8257	1006	16.8053	7	473	3	68	337	4	0.145511	39131.6	0.000410846	
2690	174	744	17.6447	14.4377	1049	13.7439	10	481	11	77	340	5	0.145514	39090.3	0.000340136	
2673	170	742	18.0252	14.4336	1019	13.553	10	481	7	69	344	6	0.139817	39940.4	0.000351	
2540	191	739	18.0375	14.0154	1009	15.9437	9	473	19	61	338	5	0.144671	38799.4	0.000461042	
2672	193	740	18.0252	14.3708	992	13.3886	8	481	9	70	344	6	0.153918	38205	0.000354862	
2592	196	736	18.7854	14.371	948	14.1447	8	483	18	68	337	4	0.147236	38001.2	0.000411692	
2638	169	750	18.9536	14.2857	960	14.7713	7	478	7	64	339	6	0.13511	41146.4	0.00035524	
2549	149	743	17.1063	14.1651	978	15.3102	7	477	19	61	347	5	0.124547	42379.7	0.000501002	
2682	170	742	18.0252	14.3708	992	13.553	10	481	9	68	344	6	0.140312	40361	0.00034118	
2698	171	758	17.1156	14.1856	1028	11.3874	6	482	11	68	342	5	0.149252	40100.7	0.000319898	
2495	196	741	18.9298	14.3874	965	10.131	7	486	10	78	348	5	0.141925	37074.2	0.000778816	
2657	197	749	16.4872	13.7561	995	13.1253	10	469	1	69	333	5	0.165506	38650.5	0.000323834	
2662	175	746	17.5874	13.7885	962	11.4558	10	468	14	57	341	5	0.145574	42504.1	0.000322477	
2616	169	744	18.9536	14.3258	979	14.1147	7	472	7	66	339	6	0.132845	40574.4	0.000381825	
2495	191	767	18.9298	14.1938	965	10.131	7	486	4	63	348	5	0.143796	37968.6	0.000636537	
2670	170	754	18.0252	14.3708	992	13.5689	10	481	6	65	343	6	0.14191	40661.2	0.000340832	
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.158623	39459	0.00032144	
2483	199	738	17.2343	13.9473	1000	10.3682	8	480	1	65	339	5	0.149373	37366.3	0.000606428	
2514	210	740	18.9576	13.8135	966	15.8607	7	471	8	75	339	5	0.151355	37588.5	0.000575043	
2628	169	743	18.9536	14.2857	980	14.753	7	474	6	74	348	6	0.133312	40434.1	0.000424628	
2585	165	738	16.9292	14.373	1029	13.5378	8	472	10	65	349	5	0.136466	40326.5	0.000462107	
2540	191	739	18.0375	13.8661	1036	15.9437	9	484	19	61	339	5	0.144671	38872.7	0.000471476	
2512	196	763	17.5874	13.8185	962	11.4558	10	468	14	65	342	5	0.153211	38012.7	0.000543774	
2564	170	754	17.45	14.2904	984	14.8228	10	468	17	77	345	5	0.138971	39698.2	0.000512033	
2534	174	757	17.5021	14.2625	982	12.9564	7	472	0	61	344	6	0.139671	39739.4	0.000499251	
2585	165	738	16.9292	14.3645	1039	13.5378	8	483	10	65	349	5	0.136466	40112.5	0.000466853	
2564	170	759	17.45	14.2904	985	14.8228	10	471	17	77	350	5	0.139892	39630.6	0.000548246	
2657	187	738	16.4872	13.7561	995	13.1253	10	472	1	68	333	5	0.156712	39459.7	0.000324149	
2537	198	747	16.7664	13.8953	972	15.0528	7	469	9	75	338	5	0.156308	38051.2	0.000506842	
2599	186	760	18.1775	14.1908	1026	15.371	8	469	3	71	333	5	0.148554	38731	0.000382409	
2625	201	741	19.0586	13.9893	969	16.2129	10	483	7	64	332	4	0.152099	39445.9	0.000346141	
2528	180	740	16.6053	13.9688	968	10.4289	8	482	4	60	344	5	0.144463	39116	0.000515198	
2555	194	739	18.0375	13.8661	1048	14.8917	9	472	18	61	338	5	0.147392	39057.1	0.000438404	
2517	198	740	19.1278	13.8135	969	14.461	7	469	8	75	339	5	0.143653	38391.7	0.000565291	
2595	173	760	17.2252	14.2876	1025	11.6754	9	468	15	64	342	6	0.144334	39773.4	0.00040568	
2673	193	774	18.7226	14.0893	1012	14.3177	10	484	17	67	343	6	0.158495	38741	0.000338295	
2512	196	769	18.5158	13.7885	986	11.7154	9	470	6	67	343	5	0.150159	38170.6	0.000558971	
2672	170	745	18.0252	14.318	992	13.5917	10	481	7	71	344	6	0.140327	40131.6	0.000353357	
2628	169	741	18.9536	14.2857	980	15.5309	7	474	6	74	348	6	0.132953	40451.2	0.00042517	
2483	195	739	17.2343	13.7288	939	10.3682	8	480	1	65	339	5	0.147164	38145.8	0.00059312	
2607	186	739	17.5849	14.2241	1046	11.3913	8	471	8	58	348	5	0.147913	39219.3	0.00040783	
2551	188	736	17.0258	13.5411	979	11.9024	8	484	1	68	335	5	0.14758	38970.6	0.00045106	
2634	191	748	18.7729	13.9287	1021	10.0316	9	488	19	75	333	6	0.148968	38326.1	0.000363901	
2618	196	764	18.7854	14.371	948	13.347	7	484	17	68	337	4	0.15442	38116.4	0.000374813	
2514	198	740	19.8505	13.7094	966	15.0835	7	469	8	75	339	5	0.141121	38936.3	0.000565931	
2698	171	755	17.1156	14.2628	1027	11.3874	6	482	11	68	342	4	0.148661	39959.8	0.000320718	
2672	170	745	17.7578	14.3708	1020	13.2143	10	481	5	72	344	5	0.141545	39773.7	0.000356633	
2672	170	745	18.0252	14.3708	992	13.553	10	481	7	72	344	6	0.140327	40025.9	0.000357015	
2690	186	749	17.6483	14.4377	1001	13.7439	10	482	12	77	341	5	0.154217	38262.9	0.00034188	
2620	194	729	18.9149	13.5077	999	12.7036	7	475	10	70	337	4	0.14563	39300	0.000377644	
2517	198	740	19.1278	13.8135	969	14.461	7	469	8	75	339	5	0.143653	38391.7	0.000565291	
2512	196	763	18.2008	14.1349	962	11.4558	10	474	11	57	342	5	0.15019	38032.1	0.000514139	



