#NSGA2
popsize 150
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	150
totalTime	33845.8
firstFrontCount	56
frontCount	10
avgEvalTime	2210.96
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2648	188	755	17.4039	13.1203	972	13.8549	10	467	2	73	338	5	0.155468	40124.4	0.000347102	
2486	193	752	15.0999	13.2508	1044	15.9265	8	480	18	61	340	5	0.160976	39008	0.000572082	
2486	195	750	15.0304	13.2508	1050	12.6	8	480	8	60	342	5	0.162375	38820.4	0.000586854	
2486	193	756	15.0999	13.2508	1044	11.4365	6	472	11	60	344	5	0.161832	39207.6	0.000598802	
2486	193	756	15.0999	13.2508	1044	11.4365	6	472	14	60	344	5	0.161832	39191.7	0.00059988	
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	13	60	342	5	0.160547	38888.8	0.000588928	
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	12	60	342	5	0.160547	38898	0.000588582	
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	12	60	342	5	0.160547	38898	0.000588582	
2486	193	750	15.0999	13.2508	1044	12.1447	8	481	12	60	342	5	0.160547	38898	0.000588582	
2486	193	752	15.0999	13.2508	1044	10.9882	6	472	12	60	344	5	0.160976	39189.8	0.000600962	
2486	193	750	15.0999	13.2508	1044	12.1447	9	481	12	60	342	5	0.160547	38870.5	0.000588582	
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	12	60	340	5	0.160976	39171.8	0.000564972	
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	12	60	340	5	0.160976	39171.8	0.000564972	
2486	193	752	15.0999	13.2508	1044	12.3692	8	472	12	60	340	5	0.160976	39159.2	0.000564972	
2486	193	752	15.0999	13.2508	1044	10.9882	6	472	10	59	345	5	0.160976	39201.8	0.00059952	
2486	193	752	15.0999	13.2508	963	10.9882	6	473	12	60	344	5	0.160976	38986	0.000598086	
2493	188	761	15.0708	13.5885	1019	14.3269	9	486	7	76	333	6	0.160976	39216.2	0.000564653	
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	10	60	340	5	0.160976	39216.2	0.000564653	
2493	188	760	15.0708	13.5885	1019	14.3269	9	486	7	69	333	6	0.160628	38710.3	0.000542005	
2493	188	760	15.0708	13.5885	1019	14.3269	9	486	7	69	333	6	0.160628	38710.3	0.000542005	
2493	188	760	15.0708	13.5885	1019	14.3269	10	486	7	76	333	6	0.159821	39108.8	0.000564334	
2486	193	752	15.3009	13.2508	1041	12.0628	8	472	9	60	340	5	0.159821	39108.8	0.000564334	
2643	194	765	19.2303	13.2639	1014	14.1709	5	478	15	65	350	5	0.152944	40339	0.000380228	
2644	194	765	19.2303	13.2639	1014	14.1709	5	479	16	65	349	5	0.153004	40336.2	0.000376932	
2486	195	750	15.5159	13.2508	1050	12.6	8	480	8	60	342	5	0.159482	38715.5	0.000587199	
2658	196	757	18.9118	13.3398	992	13.1421	10	481	19	68	349	5	0.154785	39620.7	0.000372301	
2643	195	739	17.8216	13.3177	1041	13.036	6	485	10	80	342	5	0.154479	38954.5	0.000393082	
2546	187	753	17.5663	13.3546	1020	15.8366	7	476	7	76	332	6	0.147686	39391.6	0.000458505	
2486	195	750	15.5159	13.2508	989	12.6	8	480	8	60	342	5	0.159482	38439.9	0.000584795	
2649	194	766	18.7621	13.6743	1029	16.4496	9	481	8	63	340	5	0.155407	40243.2	0.000339905	
2547	187	753	17.0904	13.3546	1017	15.8366	7	476	4	74	332	6	0.150136	39377.6	0.000451264	
2693	190	755	18.7131	13.4578	994	14.026	7	487	6	66	333	4	0.153845	40411.6	0.000297708	
2693	190	755	18.7131	13.4578	994	14.026	7	487	6	66	333	4	0.153845	40411.6	0.000297708	
2690	193	766	19.1919	13.5491	962	13.4578	10	471	15	75	341	5	0.155961	39675.2	0.000326904	
2492	195	750	15.4016	13.6536	1011	15.999	10	474	4	68	333	5	0.160447	38214.6	0.000537634	
2492	195	750	15.4016	13.6536	1011	15.999	10	474	4	68	333	5	0.160447	38214.6	0.000537634	
2687	197	755	18.8175	13.6316	978	14.1051	8	475	16	79	339	4	0.157406	38978.7	0.00033456	
2486	195	750	15.7552	13.2508	989	12.6	8	480	8	60	342	5	0.157718	38471.3	0.000585138	
2662	186	745	19.0468	13.4559	1029	15.5903	9	478	19	67	349	6	0.146227	40237.8	0.000367782	
2639	192	751	19.1139	13.5638	1018	11.7034	6	481	2	72	350	5	0.149262	39626.5	0.000406669	
2635	186	735	18.8283	13.5342	1007	16.5813	10	466	5	66	346	6	0.143337	40421.7	0.000380807	
2673	191	756	18.7466	13.6683	1010	14.4713	8	487	13	78	343	6	0.152868	39061.4	0.000359712	
2640	178	760	19.1854	13.6584	976	15.3765	10	490	13	70	339	5	0.142141	40568.4	0.000362976	
2690	193	766	19.1919	13.6456	952	13.4578	10	471	16	75	341	5	0.155961	39656.3	0.000327439	
2490	193	752	15.0999	13.8391	1044	15.9265	8	480	18	59	340	5	0.161238	38605.8	0.000556483	
2492	195	755	15.4016	13.6536	994	15.4174	10	472	3	68	333	5	0.161517	38263	0.000533903	
2673	191	757	18.7466	13.6683	1010	14.4713	8	487	13	78	344	6	0.15307	39063.1	0.000362713	
2612	191	744	18.9626	13.3678	1015	14.5663	10	482	20	73	333	5	0.146286	39326	0.000379219	
2690	198	741	18.8011	13.6656	981	15.1413	7	478	16	74	343	5	0.155304	39155.5	0.00034002	
2673	191	745	18.7466	13.6683	1010	14.6479	10	487	15	78	344	6	0.150644	38933.9	0.000365898	
2483	192	766	16.5798	13.6911	990	16.5038	10	485	9	65	332	4	0.15425	38248.1	0.000531915	
2483	192	766	16.5798	13.6911	989	16.5038	10	481	9	65	334	4	0.15425	38172.3	0.000544662	
2483	192	766	16.5798	13.6911	990	15.8188	10	478	9	65	334	4	0.15425	38169.7	0.000542888	
2483	192	766	16.5798	13.6911	990	15.8188	10	478	9	65	334	4	0.15425	38169.7	0.000542888	
2666	198	751	18.7151	13.8414	1020	15.0498	9	473	10	71	345	5	0.156589	38395.3	0.000358809	
2594	196	737	16.8159	13.6431	1039	11.5392	10	476	13	79	335	4	0.156513	38194.8	0.000421408	
2588	196	737	16.8159	13.6431	1039	11.5392	10	476	13	79	334	4	0.156144	38185	0.000426621	
2689	195	760	18.9496	13.8341	988	12.5265	10	466	9	68	337	5	0.156618	39219.6	0.000308452	
2635	186	730	18.8283	13.5342	1010	16.6607	10	466	5	66	346	6	0.142362	40404.6	0.000382117	
2635	186	730	18.8283	13.5342	1010	16.6607	10	466	7	66	346	5	0.142362	40360.1	0.000382263	
2635	186	730	18.8283	13.5342	1010	16.6607	10	466	7	66	346	6	0.142362	40391	0.000382409	
2630	186	730	18.8283	13.5342	1010	16.6607	10	466	7	65	346	6	0.142081	40578.7	0.00038625	
2647	191	742	19.2264	13.4879	1010	12.9855	8	488	12	78	335	6	0.146688	39413.4	0.000362188	
2635	186	730	18.8791	13.5342	1012	16.6607	10	468	7	66	346	6	0.142368	40398.4	0.000382995	
2659	186	739	19.0044	13.6651	1030	11.6075	10	469	14	61	341	5	0.144875	40466.9	0.00033456	
2641	186	739	19.0044	13.6651	1013	11.6075	10	469	16	61	340	5	0.143854	40394.3	0.000347584	
2687	197	731	18.8175	13.6316	978	14.1051	9	475	11	79	340	4	0.152403	38936.5	0.000342231	
2647	191	742	19.2264	13.6683	1010	13.7606	8	488	13	70	335	6	0.146688	39354.7	0.000348311	
2647	191	742	19.2264	13.6683	1010	14.4713	8	488	13	78	335	6	0.146688	39137.8	0.000363108	
2647	191	742	19.2264	13.6683	1010	14.4713	8	488	13	78	335	6	0.146688	39137.8	0.000363108	
2697	172	769	17.4877	14.3392	1035	16.2337	10	486	17	77	344	5	0.150122	39474.7	0.000341064	
2640	193	741	19.2264	13.6683	1010	14.4713	8	488	12	80	335	6	0.147343	38904.2	0.000374392	
2690	198	741	18.8011	13.9126	992	16.3493	7	479	18	73	343	5	0.155304	38693.4	0.000338524	
