#NSGA2
popsize 750
maxGen 40
numVar 13
numObj 6
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 40
currentGen	1
evaluateCount	750
totalTime	53920.3
firstFrontCount	747
frontCount	2
avgEvalTime	891.209
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	Obj4	Obj5	Obj6
2300	100	725	25	16	900	18	8	469	11	57	349	4	0.06317	51263.8	0.000219491	0	0	0
2700	490	775	10	10.0249	1050	11	5	471	8	74	350	4	0.498641	40720.2	0.00012054	0	0	0
2300	100	725	25	13.2945	909	12	10	474	6	78	348	4	0.06317	57662.7	0.000203211	0	0	0
2300	100	734	23.835	10	1049	11	5	483	8	64	344	5	0.066075	87107.3	0.000183554	0	0	0
2700	500	775	10	10	1050	11	7	480	7	69	350	5	0.507204	40399.8	0.000120613	0	0	0
2700	500	770	12.9202	11.3776	1036	11	9	489	8	80	350	6	0.3769	28361.6	0.00016952	0	0	0
2700	490	775	10	10	1050	11	5	479	9	74	350	5	0.498641	40460.8	0.000120656	0	0	0
2700	500	775	10.7778	10	1050	11	8	479	8	69	350	5	0.480042	38933	0.000121021	0	0	0
2700	485	775	10.4406	10	1050	11	8	479	5	69	350	5	0.478495	39572.3	0.000120802	0	0	0
2700	485	775	10.8067	10	1044	11	8	473	4	69	350	4	0.466638	39195.8	0.000120934	0	0	0
2700	488	775	11.2201	10	1050	10	6	484	5	73	350	5	0.45818	38327.9	0.000121286	0	0	0
2700	500	775	10.1689	10	1050	11	7	479	7	72	350	5	0.50079	39950.1	0.0001207	0	0	0
2700	488	775	11.069	10	1050	10	7	482	0	71	350	5	0.462097	38536.1	0.000121065	0	0	0
2300	100	725	24.4494	10.0644	1028	12	8	471	7	66	344	5	0.064218	82337.8	0.000186916	0	0	0
2700	482	768	11.4244	10.44	1050	10	8	481	9	76	350	5	0.444478	37146.8	0.000124069	0	0	0
2700	470	775	11.387	10.2219	1050	11	6	481	7	76	350	4	0.439381	37832	0.000122354	0	0	0
2700	500	775	10	10	1050	11	7	480	7	74	350	5	0.507204	40243.5	0.000120671	0	0	0
2700	467	775	11.204	10	1033	10	8	481	9	76	350	5	0.441564	38407.3	0.000121699	0	0	0
2336	100	734	25	10	1017	12	8	467	0	63	341	4	0.06521	81711.5	0.000185494	0	0	0
2700	482	768	11.8357	10.44	1050	10	8	476	9	76	350	5	0.435228	36958.6	0.00012427	0	0	0
2320	100	725	22.1853	13.1173	927	14	10	478	5	65	349	4	0.06909	55792.6	0.000192827	0	0	0
2700	485	775	10.8067	10	1050	11	8	476	5	69	350	5	0.466638	39089.2	0.000120948	0	0	0
2699	126	728	24.7699	10	1050	10	7	484	16	66	345	4	0.093133	75607.4	0.000152975	0	0	0
2700	466	775	10.8067	10	1049	11	7	480	9	69	350	5	0.45079	39140.7	0.00012108	0	0	0
2632	401	775	16.6418	15.8761	997	13	7	490	17	71	345	4	0.312299	29286.1	0.000166168	0	0	0
2685	483	775	11.387	10	1050	10	6	483	1	73	350	5	0.448018	38229.3	0.000121595	0	0	0
2700	488	775	11.387	10.0843	1050	10	6	483	1	73	350	5	0.454282	38045.3	0.000121684	0	0	0
2370	100	728	25	10	1050	12	5	478	3	67	343	5	0.065852	86876.2	0.000183722	0	0	0
2600	100	743	24.7557	15.2817	1023	13	7	488	3	78	332	4	0.075917	52999.4	0.000191718	0	0	0
2336	100	725	24.6992	16	904	17	8	469	11	57	349	4	0.064943	50837	0.000215424	0	0	0
2396	104	755	25	10	1046	15	8	467	16	66	350	4	0.071411	80506.6	0.000175809	0	0	0
2462	133	735	23.937	15.7372	959	14	10	486	2	73	332	5	0.089578	44734.1	0.000191351	0	0	0
2300	101	735	25	10	1050	11	7	485	3	77	344	5	0.064554	86566.3	0.000186567	0	0	0
2300	100	741	25	10.8225	927	11	8	470	7	66	348	4	0.064565	69555	0.000190767	0	0	0
2682	471	771	13.5759	10.8366	1049	13	7	484	9	66	349	5	0.398266	36141.6	0.000128107	0	0	0
2627	324	756	15.6855	13.3974	1041	11	7	490	4	75	346	5	0.255942	33056	0.000147798	0	0	0
2661	408	754	17.071	16	1046	10	7	488	10	74	344	5	0.309885	28993.6	0.000167224	0	0	0
2335	100	745	23.7699	10.0259	983	12	9	477	4	79	349	4	0.068334	75198.6	0.000180799	0	0	0
2300	100	735	25	10	1048	11	7	484	3	78	344	5	0.064042	86404.1	0.000187371	0	0	0
2323	100	734	25	10.0154	956	13	9	478	8	66	338	5	0.064756	78340.4	0.000187406	0	0	0
2665	500	768	16.9538	14.2445	1050	11	8	480	8	74	350	5	0.387395	30219.1	0.000152602	0	0	0
2325	116	751	23.0168	10.0259	1008	13	8	471	7	80	342	4	0.078692	71908.8	0.000168011	0	0	0
2606	116	763	17.5493	10.34	1037	11	9	474	8	71	350	4	0.108708	56113.7	0.000148965	0	0	0
2334	123	732	25	16	909	15	8	481	9	62	342	4	0.07695	46609.9	0.000209205	0	0	0
2700	348	749	16.0786	14.7303	1050	11	8	490	8	75	350	5	0.274528	30867.7	0.000155933	0	0	0
2605	177	754	18.6849	12.4169	1026	13	9	490	2	65	350	5	0.140251	43382.2	0.000146972	0	0	0
2641	394	767	12.2843	10.9614	1050	10	9	481	9	73	350	5	0.349569	36291.5	0.000128436	0	0	0
2363	100	740	23.5036	10	978	11	10	472	8	69	343	5	0.069423	74915.4	0.000179437	0	0	0
2417	108	741	23.4444	10.097	986	16	9	473	4	65	343	5	0.075814	72317.9	0.000171204	0	0	0
2300	100	725	24.751	15.9445	900	15	8	469	11	57	337	4	0.063693	51365.7	0.00021796	0	0	0
2619	308	739	12.3361	10.9486	1047	12	8	468	7	74	350	4	0.272206	38154.4	0.000131337	0	0	0
2670	305	773	14.8733	11.3842	1013	11	7	490	9	68	350	4	0.258098	37020.1	0.000132679	0	0	0
2334	104	773	21.3206	11.4476	1031	15	8	469	19	73	339	5	0.078617	62303.8	0.00017328	0	0	0
2396	104	756	25	10	1046	15	8	467	16	71	350	4	0.071505	80108.1	0.000175623	0	0	0
2300	100	725	23.3602	12.3942	927	14	8	474	7	66	341	4	0.065793	59820.5	0.000194212	0	0	0
2615	226	758	14.648	12.798	1022	11	7	481	12	78	347	6	0.196274	37355.1	0.000143885	0	0	0
2300	100	734	25	10	1022	12	8	467	7	64	344	4	0.063955	82949.6	0.000187723	0	0	0
2628	500	743	16.5701	15.9322	1021	12	9	488	9	75	348	5	0.37247	28442.8	0.000169348	0	0	0
2370	102	740	25	10	1050	12	6	474	8	66	343	5	0.067997	84646.7	0.000180603	0	0	0
2309	100	726	25	16	1034	18	8	470	9	74	349	4	0.063568	54103.9	0.00021245	0	0	0
2695	285	773	10.8067	10	1041	11	5	476	9	77	350	5	0.305841	42337	0.000121566	0	0	0
2600	328	770	13.8732	12.5213	1050	10	8	481	12	67	344	6	0.276556	34599	0.000140036	0	0	0
2433	114	744	22.4378	10	1048	11	8	472	7	60	344	4	0.082272	73394.1	0.000162522	0	0	0
2556	276	742	15.6886	14.4901	1041	10	9	489	4	74	349	5	0.212954	33176.8	0.000158579	0	0	0
2380	108	731	24.4895	13.0084	1000	17	9	480	6	62	346	5	0.071244	58346.8	0.000188501	0	0	0
2337	100	725	24.7518	12.0565	948	14	10	475	7	72	349	4	0.064974	62839	0.000193461	0	0	0
2690	217	743	14.308	12.7009	1050	10	9	485	12	75	349	6	0.194971	37963.5	0.000141463	0	0	0
2316	223	725	25	15.986	900	15	8	472	6	60	349	4	0.12913	36400	0.000211775	0	0	0
2655	199	771	14.0771	10.8243	1019	14	9	475	7	69	343	6	0.189355	43149.9	0.000130941	0	0	0
2700	500	772	14.0385	13.8423	1036	11	8	489	7	80	350	5	0.419133	30719.2	0.000146092	0	0	0
2700	228	775	13.52	10.359	1007	13	9	484	8	73	350	5	0.219738	42294.3	0.000125881	0	0	0
2550	141	766	18.8696	10.0225	1050	11	7	481	9	64	348	5	0.116454	58975.9	0.000139295	0	0	0
2478	170	757	13.8732	12.0801	1050	10	8	477	12	70	344	6	0.157121	43734.8	0.00014243	0	0	0
2325	103	751	23.0168	10.0259	1050	13	8	471	7	80	343	4	0.071738	76873.8	0.000175254	0	0	0
2693	151	769	15.6226	11.9084	1042	11	7	488	6	79	347	5	0.146721	45345.2	0.000138313	0	0	0
2323	100	734	25	10.0154	981	13	9	478	8	65	338	5	0.064756	79842.5	0.000187231	0	0	0
2667	192	775	17.1842	11.7783	1050	14	9	483	1	77	342	5	0.164718	42482.5	0.000137306	0	0	0
2300	100	725	25	10	977	11	8	467	9	63	350	4	0.06317	79985.3	0.000189394	0	0	0
2648	394	767	15.488	13.9793	1020	10	6	489	7	69	349	5	0.314095	31290.7	0.000150761	0	0	0
2303	100	725	24.7518	11.9716	909	14	10	475	7	72	349	4	0.063797	62110.2	0.000196386	0	0	0
2300	185	741	24.9483	16	931	15	10	467	4	47	314	5	0.109877	38951.3	0.000215936	0	0	0
2664	441	756	13.4798	11.9228	1050	10	8	481	5	75	350	5	0.366567	33799.5	0.000134953	0	0	0
2670	247	770	14.8733	10.542	1048	11	7	485	0	68	350	4	0.216076	41492.8	0.000127616	0	0	0
2451	104	758	23.1422	10.7066	990	15	7	479	8	78	344	5	0.077188	67573	0.000172058	0	0	0
2300	100	730	25	15.986	963	16	8	473	6	60	350	4	0.063606	52736.3	0.000214915	0	0	0
2617	297	758	16.4129	14.5911	1020	10	8	488	8	77	349	5	0.23234	32185.7	0.000157704	0	0	0
2385	101	742	23.4244	10	1023	14	6	480	1	64	345	5	0.070947	78514.6	0.000176991	0	0	0
2700	296	768	11.4244	10.44	1050	10	8	481	0	76	350	5	0.298694	39930.8	0.000123977	0	0	0
2662	481	768	15.3238	12.7312	1029	11	9	490	7	80	350	5	0.38413	31979.7	0.000141084	0	0	0
2443	114	734	21.96	10.4873	950	10	9	490	8	76	325	6	0.082661	64564.6	0.000166667	0	0	0
2300	100	725	24.8179	12.591	955	12	10	474	6	69	348	6	0.063183	61879.2	0.000198847	0	0	0
2315	147	728	22.2916	15.7974	921	17	6	481	12	73	347	5	0.093247	42624.9	0.000198649	0	0	0
2330	100	740	23.827	15.639	977	15	9	477	8	78	337	4	0.067693	52805.6	0.00020517	0	0	0
2316	100	740	24.4798	10	1047	16	7	478	9	67	344	5	0.066113	84013.5	0.000183824	0	0	0
