"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX) [] - InducedVoltage(WindingStatorBY) [V]","FFT Time []","FFT InducedVoltage(WindingStatorBY) [] - InducedVoltage(WindingStatorCZ) [V]","FFT Time []","FFT InducedVoltage(WindingStatorCZ) [] - InducedVoltage(WindingStatorAX) [V]"
0,0,3.44181968017798,0,1.28556656480144,0,4.72738699497959
50,50,9019.16521202618,50,9024.27417911272,50,9025.20178048266
100,100,6.88363974727192,100,2.57113276373874,100,9.45477321682834
150,150,5.58187653508493,150,2.43750053262069,150,7.99269067931785
200,200,6.88364040030314,200,2.57113293557845,200,9.45477397358862
250,250,80.0678709165907,250,83.7161226768844,250,87.0754429016626
300,300,6.88364019473472,300,2.57113281965656,300,9.45477335608107
350,350,8.21622056065904,350,12.9760446172413,350,15.6019387382201
400,400,6.8836399789382,400,2.57113295858773,400,9.45477355975821
450,450,6.62174547681074,450,4.69303804004045,450,10.5760745568917
500,500,6.88364003366054,500,2.57113327486605,500,9.45477302311656
550,550,10.599659842206,550,9.11113538646702,550,6.45737634803378
600,600,6.8836402436004,600,2.5711333255158,600,9.4547732149898
650,650,26.5896609282528,650,18.5459821918656,650,22.7230571937989
700,700,6.88364059657476,700,2.57113352080941,700,9.45477345259294
750,750,5.9499981531695,750,3.16355812444494,750,9.1121509937585
800,800,6.88364025341912,800,2.57113354793347,800,9.4547733581168
850,850,6.74176771868383,850,2.30398957741518,850,5.35610616785884
900,900,6.88364028074108,900,2.5711334369471,900,9.45477343052057
950,950,13.6904330206619,950,10.7059576185779,950,24.1062343856322
1000,1000,6.88363997678109,1000,2.57113331708597,1000,9.45477387927714
1050,1050,34.4555205129375,1050,37.3607043169056,1050,42.079373743856
1100,1100,6.88363961000739,1100,2.57113324280866,1100,9.4547734768635
1150,1150,5.48108472260426,1150,3.39532844953731,1150,8.86242073585941
1200,1200,6.88364038419811,1200,2.57113358235475,1200,9.45477406810406
1250,1250,14.7058210897449,1250,22.6452972984671,1250,20.0880940342423
1300,1300,6.88364002102183,1300,2.57113351270008,1300,9.45477346614338
1350,1350,7.6802697992419,1350,2.39876309964388,1350,9.75863982791545
1400,1400,6.8836398366048,1400,2.57113329849641,1400,9.45477340181766
1450,1450,162.790906495909,1450,165.194882670171,1450,156.235445153582
1500,1500,6.88364024623846,1500,2.57113317534742,1500,9.45477380699598
1550,1550,297.572551797396,1550,306.367683334631,1550,301.546658683805
1600,1600,6.88364013893221,1600,2.57113320193449,1600,9.4547733095308
1650,1650,7.29777567492694,1650,4.00967040793914,1650,11.1296616143541
1700,1700,6.88363986996204,1700,2.57113336858174,1700,9.45477354264969
1750,1750,10.8281855138684,1750,4.40848950948525,1750,13.7060214005556
1800,1800,6.88364021258735,1800,2.57113275795723,1800,9.45477327228198
1850,1850,8.4868988220538,1850,2.8318574347638,1850,10.5260299013002
1900,1900,6.88364003240179,1900,2.57113335519047,1900,9.45477378975486
1950,1950,17.9391399304954,1950,9.31895042226614,1950,20.4033481283208
2000,2000,6.88364043114391,2000,2.57113331187203,2000,9.45477365760575
2050,2050,13.4798865459849,2050,4.40641698783275,2050,15.0092386731918
2100,2100,6.88363986315614,2100,2.57113353663338,2100,9.45477357296287
2150,2150,8.42882420712994,2150,4.84778186960752,2150,12.9845444908996
2200,2200,6.88364048317318,2200,2.57113359674325,2200,9.45477348215637
2250,2250,8.95814499223275,2250,0.954152701914417,2250,9.86935620615693
2300,2300,6.88364014534816,2300,2.57113331334263,2300,9.45477292723016
2350,2350,8.21140931418508,2350,5.1647235757454,2350,12.7213729994726
2400,2400,6.8836404693682,2400,2.57113330496515,2400,9.45477327084701
2450,2450,11.1020162409958,2450,7.69047036680797,2450,5.204531035208
2500,2500,6.88363991781745,2500,2.57113291996986,2500,9.45477313778747
