"Freq [kHz]","mag(CoreLoss(PoleShoe)) [W]"
0,19408.4850907866
0.1,327.798774648843
0.2,510.929197884277
0.3,561.305012442636
0.4,574.049585904043
0.5,657.438491906765
0.6,601.399495171802
0.7,586.51550647771
0.8,554.351170175463
0.9,520.559942353011
1,458.144249235733
1.1,455.160966350714
1.2,415.492054919184
1.3,378.641637011794
1.4,311.156249453896
1.5,393.937663049407
1.6,309.331572287874
1.7,336.205136135279
1.8,349.734133899881
1.9,362.705876645414
2,1042.48154684832
2.1,370.168265486204
2.2,368.71427447715
2.3,377.928867162509
2.4,374.381043291856
2.5,395.574558711427
