"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
0,0,0.0430672299454153,0,0.191788962427531,0,0.14872173248217
50,50,8973.24657790131,50,8973.52509232957,50,8973.54283498722
100,100,0.165882408670103,100,0.372078933078786,100,0.206333608201154
150,150,0.188031623075066,150,0.283765763686811,150,0.099253248434457
200,200,0.166104616761541,200,0.362924937932706,200,0.196846304005115
250,250,0.851399892632826,250,0.517416717879116,250,0.980745075097789
300,300,0.110250805735547,300,0.38369183375274,300,0.279847732354073
350,350,4.20557428135329,350,4.58414847991205,350,4.44420302044784
400,400,0.105280080705065,400,0.366915445356384,400,0.263519496808452
450,450,1.35022768068844,450,1.17387983021612,450,1.15420823122481
500,500,0.105007397336146,500,0.363451928702875,500,0.259402030031981
550,550,16.2491502254414,550,16.5416337166,550,17.1116893818601
600,600,0.114527453600624,600,0.369659253854506,600,0.255653411641304
650,650,4.29282653096841,650,4.59379725419045,650,4.30628153607123
700,700,0.118872189377398,700,0.364981487823068,700,0.246967142349437
750,750,0.130242077294007,750,0.453976533649546,750,0.371490765708071
800,800,0.108564398027767,800,0.362879418410732,800,0.254909412188571
850,850,7.73764635889239,850,8.03382981685652,850,7.83893670203614
900,900,0.120808916152926,900,0.368343257121102,900,0.247953330528659
950,950,2.84055003599755,950,5.02013851868007,950,5.01403280200085
1000,1000,0.126381893474936,1000,0.359588140330787,1000,0.233461311331202
1050,1050,13.216096998892,1050,13.4957967782111,1050,13.5493007554442
1100,1100,0.113221520924592,1100,0.357726419950536,1100,0.245115919736256
1150,1150,1.17372739368486,1150,0.75556153677008,1150,0.897676025874071
1200,1200,0.114442940920276,1200,0.360201039214566,1200,0.246164972803612
1250,1250,1.71929898155939,1250,1.76662436463166,1250,3.31066350929375
1300,1300,0.119125775710358,1300,0.35831634581564,1300,0.240194455666266
1350,1350,0.104075115011562,1350,0.362309318925084,1350,0.262557842663086
1400,1400,0.117617207754554,1400,0.362343744937171,1400,0.246683601302367
1450,1450,47.6377703678219,1450,47.9489062208815,1450,47.8059527500651
1500,1500,0.130476060933178,1500,0.343902110915664,1500,0.213783897319705
1550,1550,35.7852795918622,1550,36.0122976674358,1550,35.8021757311044
1600,1600,0.0954998564028613,1600,0.35844352139836,1600,0.263080053043328
1650,1650,0.14629056675849,1650,0.440472006029716,1650,0.337324462100398
1700,1700,0.104741641278938,1700,0.356537520633133,1700,0.251800612223196
