"Freq [kHz]","mag(SolidLoss) [W]"
0,1305.21240269623
0.1,29.4692529400649
0.2,26.7113978583094
0.3,26.6331080785277
0.4,26.6105356495555
0.5,64.0340984521413
0.6,27.4604616896821
0.7,31.0415778403131
0.8,34.099465552137
0.9,38.4759721833616
1,42.3801874590347
1.1,46.4975755306161
1.2,54.5963965439246
1.3,60.4630803242917
1.4,70.0595499016767
1.5,223.188200326248
1.6,62.5251608344452
1.7,49.3959388634645
1.8,39.4760446783774
1.9,34.1232846439831
2,358.240390287367
2.1,26.5939855676771
2.2,24.457592600551
2.3,20.5941661964944
2.4,19.0548331850915
2.5,32.0057801046183
