"Freq [kHz]","mag(CoreLoss(PoleShoe)) [W]"
0,3603.13891867563
0.05,105.524907053702
0.1,97.4758388780651
0.15,87.1109967113106
0.2,95.1828940930338
0.25,75.9473975689863
0.3,66.3540544998644
0.35,62.7923911428081
0.4,52.0553290823201
0.45,47.3300924738515
0.5,14.7102901351958
0.55,44.034556349017
0.6,41.381528401801
0.65,45.1457594754675
0.7,41.6566485793252
0.75,44.3926802574714
0.8,41.5291992167958
0.85,40.4025958018476
0.9,37.4847295474127
0.95,30.6785686269729
1,38.4186876456067
1.05,32.5488012484257
1.1,36.1087678587895
1.15,35.8402355011294
1.2,31.5339139962845
1.25,36.0798806002878
1.3,29.8108164173906
1.35,28.1491192337772
1.4,23.5186669135304
1.45,12.7475776531693
1.5,37.3142090613801
1.55,14.4420920284082
1.6,21.5681131009688
1.65,19.1300635693962
1.7,12.1779659277682
1.75,18.7537998245696
1.8,18.5965064307122
1.85,19.3526102932678
1.9,20.310840499427
1.95,19.4632193901646
2,41.9876786120604
2.05,22.1944697212464
2.1,23.9623434539996
2.15,24.0621527719697
2.2,22.5167521520448
2.25,23.3612871470728
2.3,22.0545769785283
2.35,20.489227661547
2.4,20.2213176701951
2.45,17.6477248004195
2.5,1.84082780952375
2.55,20.4901435251436
2.6,21.2010748443471
2.65,20.1157321764259
2.7,19.3946177970452
2.75,17.7569166037325
2.8,15.7716661394256
2.85,16.377290013699
2.9,17.472204472272
2.95,17.9733389494947
3,12.8852990674724
3.05,21.1733670337936
3.1,20.9293929115771
3.15,20.7632907369418
3.2,20.7518984998275
3.25,19.6743855544047
3.3,19.9664362819009
3.35,20.003642919629
3.4,19.8766484033057
3.45,19.215139436145
3.5,18.0302514416716
3.55,17.8558092857572
3.6,17.385089355106
3.65,17.4991841998374
3.7,17.9615118200166
3.75,17.4393703766779
3.8,17.6673450320069
3.85,17.6775058452524
3.9,18.131892424431
3.95,17.7447914676588
4,16.1078242187659
4.05,17.2599326093183
4.1,17.4444474587951
4.15,17.4886500436558
4.2,17.2587164447783
4.25,17.5410178234217
4.3,17.8625353681396
4.35,18.1648491383668
4.4,18.3227042903305
4.45,17.7939322403523
4.5,17.4833456328844
4.55,16.9671722017113
4.6,16.9620097613004
4.65,16.4685329220949
4.7,16.2857442867476
4.75,16.1525174741769
4.8,16.3496273519572
4.85,16.1644719973666
4.9,16.0290342007092
4.95,16.125375126343
5,17.9312636907332
